date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:58	13815/13815	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:57%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/hal/AccelerometerJNI.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/hal/AccelerometerJNI.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:50:58	11149/11149	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:58%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/AccumulatorResult.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/AccumulatorResult.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:50:58	33610/33610	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:58%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL345_I2C.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL345_I2C.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:50:59	11640/11640	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:58%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL345_I2C.AllAxes.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL345_I2C.AllAxes.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:50:59	18507/18507	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:59%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL345_I2C.Axes.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL345_I2C.Axes.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:50:59	32821/32821	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:50:59%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL345_SPI.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL345_SPI.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:00	11640/11640	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:00%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL345_SPI.AllAxes.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL345_SPI.AllAxes.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:00	18499/18499	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:00%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL345_SPI.Axes.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL345_SPI.Axes.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:00	33770/33770	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:00%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL362.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL362.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:01	11560/11560	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:01%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL362.AllAxes.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL362.AllAxes.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:02	18343/18343	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:01%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL362.Axes.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXL362.Axes.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:02	27361/27361	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:02%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXRS450_Gyro.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/ADXRS450_Gyro.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:02	13634/13634	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:02%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/util/AllocationException.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/util/AllocationException.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:03	32228/32228	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:02%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/AnalogAccelerometer.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/AnalogAccelerometer.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
15:51:03	34590/34590	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2007:51:03%20GMT	http://first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/AnalogGyro.html	first.wpi.edu/FRC/roborio/release/docs/java/edu/wpi/first/wpilibj/AnalogGyro.html	(from http://first.wpi.edu/FRC/roborio/release/docs/java/allclasses-frame.html)
